"Date","Public","Member","Group","School","Birthdays","Total","Weather","","","","","","","","","","","","","","","","","",""
"1/24/18","530","387","0","656","0","1,573","Rainy","","","","","","","","","","","","","","","","","",""
"1/23/18","565","350","0","143","0","1,058","Rainy","","","","","","","","","","","","","","","","","",""
"1/22/18","498","316","36","117","0","967","Sunny","","","","","","","","","","","","","","","","","",""
"1/21/18","1271","1707","0","0","115","3,093","Cloudy","","","","","","","","","","","","","","","","","",""
"1/20/18","1682","1407","60","0","85","3,234","Rainy","","","","","","","","","","","","","","","","","",""
"1/19/18","785","656","128","475","0","2,044","Rainy","","","","","","","","","","","","","","","","","",""
"1/18/18","429","444","106","256","0","1,235","Cloudy","","","","","","","","","","","","","","","","","",""
"1/17/18","506","405","76","267","0","1,254","Rainy","","","","","","","","","","","","","","","","","",""
"1/16/18","450","350","0","0","0","800","Rainy","","","","","","","","","","","","","","","","","",""
"1/15/18","405","251","124","69","0","849","Sunny","","","","","","","","","","","","","","","","","",""
"1/14/18","1227","1420","0","0","24","2,671","Cloudy","","","","","","","","","","","","","","","","","",""
"1/13/18","1384","1458","31","0","46","2,919","Rainy","","","","","","","","","","","","","","","","","",""
"1/12/18","695","579","20","175","0","1,469","Rainy","","","","","","","","","","","","","","","","","",""
"1/11/18","585","398","15","145","0","1,143","Rainy","","","","","","","","","","","","","","","","","",""
"1/10/18","414","367","17","238","0","1,036","Cloudy","","","","","","","","","","","","","","","","","",""
"1/9/18","509","401","0","44","0","954","Cloudy","","","","","","","","","","","","","","","","","",""
